column,role,missing_in_full_feature_table,dtype
SEASON_YEAR,identifier/context,0,string
season_start_year,identifier/context,0,int16
season_order,identifier/context,0,int16
GAME_ID,identifier/context,0,string
GAME_DATE,identifier/context,0,datetime64[ns]
game_year,identifier/context,0,int16
game_month,identifier/context,0,int8
TEAM_ID,identifier/context,0,int64
TEAM_ABBREVIATION,identifier/context,0,object
TEAM_NAME,identifier/context,0,object
MATCHUP,identifier/context,0,object
opponent_team_id,identifier/context,0,int64
opponent_abbr,identifier/context,0,object
opponent_team_name,identifier/context,0,object
is_home,identifier/context,0,int8
is_road,identifier/context,0,int8
is_neutral_or_unresolved,identifier/context,0,int8
WL,target,0,object
is_win,target,0,int8
games_played_before,team pre-game feature,0,int16
season_opener,team pre-game feature,0,int8
days_since_last_game_filled,team pre-game feature,0,float64
rest_days_filled,team pre-game feature,0,float64
rest_days_capped_filled,team pre-game feature,0,float64
is_back_to_back,team pre-game feature,0,int8
is_3plus_days_rest,team pre-game feature,0,int8
season_progress,team pre-game feature,0,float64
streak_entering_game,team pre-game feature,0,int16
win_pct_roll5,team pre-game feature,746,float64
win_pct_roll10,team pre-game feature,746,float64
win_pct_roll20,team pre-game feature,746,float64
net_margin_roll5,team pre-game feature,746,float64
net_margin_roll10,team pre-game feature,746,float64
net_margin_roll20,team pre-game feature,746,float64
pts_scored_roll5,team pre-game feature,746,float64
pts_scored_roll10,team pre-game feature,746,float64
pts_scored_roll20,team pre-game feature,746,float64
pts_allowed_roll5,team pre-game feature,746,float64
pts_allowed_roll10,team pre-game feature,746,float64
pts_allowed_roll20,team pre-game feature,746,float64
off_rating_roll5,team pre-game feature,746,float64
off_rating_roll10,team pre-game feature,746,float64
off_rating_roll20,team pre-game feature,746,float64
def_rating_roll5,team pre-game feature,746,float64
def_rating_roll10,team pre-game feature,746,float64
def_rating_roll20,team pre-game feature,746,float64
net_rating_roll5,team pre-game feature,746,float64
net_rating_roll10,team pre-game feature,746,float64
net_rating_roll20,team pre-game feature,746,float64
efg_pct_roll5,team pre-game feature,746,float64
efg_pct_roll10,team pre-game feature,746,float64
efg_pct_roll20,team pre-game feature,746,float64
ts_pct_roll5,team pre-game feature,746,float64
ts_pct_roll10,team pre-game feature,746,float64
ts_pct_roll20,team pre-game feature,746,float64
fg_pct_roll5,team pre-game feature,746,float64
